"PLU";"Name";"VAT";"Stock group";"PriceType";"Price";"Single Sale";"Turnover";"Sold Qty";"Stock Qty";"Barcode1";"Barcode2";"Barcode3";"Barcode4";
"82";"VINO NIKOLAS +CASE";"Ђ";"1";"1";"780.00";"0";"0";"0";"0";"0";"0";"0";"0";
"83";"VINO BELO 1L";"Ђ";"1";"1";"345.00";"0";"0";"0";"0";"0";"0";"0";"0";
"84";"VINO CRNO 1L";"Ђ";"1";"1";"345.00";"0";"0";"0";"0";"0";"0";"0";"0";
"85";"SOK SIRUP SORTA 0,850";"Ђ";"1";"1";"190.00";"0";"0";"0";"0";"0";"0";"0";"0";
"86";"MED TEGLA 1KG";"Ђ";"1";"1";"500.00";"0";"0";"0";"0";"0";"0";"0";"0";
"87";"MARMELADA SIPURAK 670";"Ђ";"1";"1";"490.00";"0";"0";"0";"0";"0";"0";"0";"0";
"88";"FEFERONA TEGLA 0,630";"Ђ";"1";"1";"240.00";"0";"0";"0";"0";"0";"0";"0";"0";
"89";"FEFERONA TEGLA 0,200";"Ђ";"1";"1";"125.00";"0";"0";"0";"0";"0";"0";"0";"0";
"90";"FRFERONA KESICA";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"91";"BABURICE TEGLA 670";"Ђ";"1";"1";"330.00";"0";"0";"0";"0";"0";"0";"0";"0";
"92";"KORNISONI GRIN GARDEN 670";"Ђ";"1";"1";"260.00";"0";"0";"0";"0";"0";"0";"0";"0";
"93";"KRASTAVAC TEGLA 670";"Ђ";"1";"1";"230.00";"0";"0";"0";"0";"0";"0";"0";"0";
"94";"SAMPINJONI TEGLA 680";"Ђ";"1";"1";"395.00";"0";"0";"0";"0";"0";"0";"0";"0";
"95";"SAMPINJONI KESA";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"96";"SIRCE LUZNICA ALKOHOLNO 1L";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"97";"SIRCE LUZNICA VINSKO 1L";"Ђ";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"98";"SIRCE LUZNICA JABUKOVO 1L";"Ђ";"1";"1";"165.00";"0";"0";"0";"0";"0";"0";"0";"0";
"99";"SIRCE LUZNICA 3L";"Ђ";"1";"1";"240.00";"0";"0";"0";"0";"0";"0";"0";"0";
"100";"ESENCIJA 250 GR";"Ђ";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"101";"ULJE ISKON 1L";"Е";"1";"1";"185.00";"0";"0";"0";"0";"0";"0";"0";"0";
"102";"ULJE DIJAMANT 1L";"Е";"1";"1";"170.00";"0";"0";"0";"0";"0";"0";"0";"0";
"103";"SECER KRISTAL 1/1";"Е";"1";"1";"130.00";"0";"0";"0";"0";"0";"0";"0";"0";
"104";"SECER KOCKA 250";"Е";"1";"1";"80.00";"0";"0";"0";"0";"0";"0";"0";"0";
"105";"SO KUHINJSKA TUZLA 1 KG";"Ђ";"1";"1";"95.00";"0";"0";"0";"0";"0";"0";"0";"0";
"106";"SO KUHINJSKA 5/1 BEOGRAD";"Ђ";"1";"1";"300.00";"0";"0";"0";"0";"0";"0";"0";"0";
"107";"SO STOCNA 5/1";"Ђ";"1";"1";"220.00";"0";"0";"0";"0";"0";"0";"0";"0";
"108";"SUVI KVASAC 500 RUSKI";"Ђ";"1";"1";"700.00";"0";"0";"0";"0";"0";"0";"0";"0";
